variant,step,ignored_prediction,supervised_prediction,ignored_gradient,supervised_gradient,loss
masked,0,0.5,-1.0,0.0,-3.0,4.5
masked,1,0.5,-0.3999999761581421,0.0,-2.4000000953674316,2.880000114440918
masked,2,0.5,0.08000005036592484,0.0,-1.9199999570846558,1.8431999683380127
masked,3,0.5,0.46400004625320435,0.0,-1.5360000133514404,1.1796480417251587
masked,4,0.5,0.7712000608444214,0.0,-1.2287999391555786,0.7549746632575989
masked,5,0.5,1.0169600248336792,0.0,-0.9830399751663208,0.4831838011741638
masked,6,0.5,1.2135679721832275,0.0,-0.7864320278167725,0.30923765897750854
masked,7,0.5,1.370854377746582,0.0,-0.629145622253418,0.19791211187839508
masked,8,0.5,1.4966834783554077,0.0,-0.5033165216445923,0.12666375935077667
masked,9,0.5,1.5973467826843262,0.0,-0.40265321731567383,0.08106480538845062
masked,10,0.5,1.677877426147461,0.0,-0.32212257385253906,0.05188147723674774
masked,11,0.5,1.7423019409179688,0.0,-0.25769805908203125,0.03320414572954178
masked,12,0.5,1.7938416004180908,0.0,-0.20615839958190918,0.021250642836093903
masked,13,0.5,1.8350732326507568,0.0,-0.16492676734924316,0.013600419275462627
masked,14,0.5,1.8680585622787476,0.0,-0.13194143772125244,0.008704271167516708
masked,15,0.5,1.894446849822998,0.0,-0.10555315017700195,0.005570733919739723
masked,16,0.5,1.9155575037002563,0.0,-0.08444249629974365,0.0035652676597237587
masked,17,0.5,1.932446002960205,0.0,-0.06755399703979492,0.0022817712742835283
masked,18,0.5,1.945956826210022,0.0,-0.05404317378997803,0.0014603323070332408
masked,19,0.5,1.9567654132843018,0.0,-0.04323458671569824,0.0009346147417090833
masked,20,0.5,1.9654123783111572,,,
legacy_unmasked,0,0.5,-1.0,50.25,-1.5,2527.3125
legacy_unmasked,1,-9.550000190734863,-0.699999988079071,45.224998474121094,-1.350000023841858,2047.123046875
legacy_unmasked,2,-18.594999313354492,-0.429999977350235,40.70249938964844,-1.215000033378601,1658.169677734375
legacy_unmasked,3,-26.735498428344727,-0.18699996173381805,36.63225173950195,-1.093500018119812,1343.11767578125
legacy_unmasked,4,-34.06195068359375,0.03170004487037659,32.969024658203125,-0.9841499924659729,1087.925048828125
legacy_unmasked,5,-40.65575408935547,0.22853004932403564,29.672122955322266,-0.8857349753379822,881.2194213867188
legacy_unmasked,6,-46.590179443359375,0.40567705035209656,26.704910278320312,-0.7971614599227905,713.7876586914062
legacy_unmasked,7,-51.93115997314453,0.565109372138977,24.034420013427734,-0.7174453139305115,578.1680297851562
legacy_unmasked,8,-56.73804473876953,0.7085984349250793,21.630977630615234,-0.6457008123397827,468.3161315917969
legacy_unmasked,9,-61.064239501953125,0.837738573551178,19.467880249023438,-0.5811307430267334,379.3360595703125
legacy_unmasked,10,-64.95781707763672,0.9539647102355957,17.52109146118164,-0.5230176448822021,307.26220703125
legacy_unmasked,11,-68.4620361328125,1.0585682392120361,15.76898193359375,-0.47071588039398193,248.8823699951172
legacy_unmasked,12,-71.61582946777344,1.1527113914489746,14.192085266113281,-0.4236443042755127,201.59475708007812
legacy_unmasked,13,-74.4542465209961,1.2374402284622192,12.772876739501953,-0.3812798857688904,163.291748046875
legacy_unmasked,14,-77.00881958007812,1.313696265220642,11.495590209960938,-0.34315186738967896,132.26634216308594
legacy_unmasked,15,-79.30793762207031,1.382326602935791,10.346031188964844,-0.3088366985321045,107.1357421875
legacy_unmasked,16,-81.37714385986328,1.444093942642212,9.31142807006836,-0.27795302867889404,86.77994537353516
legacy_unmasked,17,-83.23943328857422,1.4996845722198486,8.38028335571289,-0.2501577138900757,70.2917251586914
legacy_unmasked,18,-84.91548919677734,1.5497161149978638,7.542255401611328,-0.22514194250106812,56.93630599975586
legacy_unmasked,19,-86.42394256591797,1.5947445631027222,6.788028717041016,-0.20262771844863892,46.11839294433594
legacy_unmasked,20,-87.78154754638672,1.635270118713379,,,
